threads, time
1, 30.5708
1, 30.4948
1, 31.0836
1, 30.1878
1, 30.1719
1, 30.329
1, 30.2476
1, 30.1787
1, 30.2889
1, 30.258
1, 30.2481
1, 30.1985
1, 30.1676
1, 30.2955
1, 30.1849
1, 29.9872
1, 30.0262
1, 30.1345
1, 30.1338
1, 30.1376
1, 30.1477
1, 30.1919
1, 30.114
1, 30.126
1, 30.091
1, 30.0269
1, 30.0184
1, 30.035
1, 30.1146
1, 30.0835
1, 30.0859
1, 30.1399
1, 30.1971
1, 30.1509
1, 30.0964
1, 30.1292
1, 30.1337
1, 30.1358
1, 30.0871
1, 30.1113
1, 30.02
1, 30.065
1, 30.1438
1, 30.0342
1, 29.9128
1, 30.1016
1, 30.817
1, 29.9949
1, 30.3509
1, 30.2762
1, 30.1999
1, 30.1532
1, 30.3888
1, 30.2025
1, 30.0232
1, 30.0196
1, 29.9736
1, 30.0346
1, 30.0796
1, 30.0264
1, 29.9279
1, 29.9772
1, 29.7899
1, 29.8497
1, 29.9521
1, 29.9466
1, 30.0263
1, 30.0968
1, 30.0491
1, 30.0509
1, 30.0178
1, 30.0172
1, 30.0263
1, 29.9913
1, 30.0672
1, 30.068
1, 30.0887
1, 29.9814
1, 29.9562
1, 29.9621
1, 29.9678
1, 29.9367
1, 29.9464
1, 29.99
1, 30.0083
1, 29.8232
1, 29.7784
1, 30.0139
1, 29.9754
1, 29.9038
1, 30.1046
1, 29.9934
1, 29.9224
1, 29.9925
1, 30.0551
1, 30.0809
1, 30.156
1, 30.1447
1, 30.0356
1, 30.0739
2, 15.8188
2, 15.4921
2, 15.5032
2, 15.3653
2, 15.3601
2, 15.382
2, 15.2963
2, 15.4583
2, 15.9568
2, 15.3823
2, 15.3415
2, 15.259
2, 15.3554
2, 15.3363
2, 15.3382
2, 15.2628
2, 15.3389
2, 15.3029
2, 15.281
2, 15.3363
2, 15.3459
2, 15.4055
2, 15.3459
2, 15.4361
2, 15.3942
2, 15.3818
2, 15.3584
2, 15.3326
2, 15.3768
2, 15.3869
2, 15.3515
2, 15.3738
2, 15.3692
2, 15.3697
2, 15.3038
2, 15.3465
2, 15.3481
2, 15.3876
2, 15.3239
2, 15.4187
2, 15.3697
2, 15.3821
2, 15.4305
2, 15.3561
2, 15.3885
2, 15.4029
2, 15.356
2, 15.358
2, 15.3598
2, 15.3687
2, 15.3932
2, 15.299
2, 15.3752
2, 15.3693
2, 15.38
2, 15.3269
2, 15.3814
2, 15.4093
2, 15.4218
2, 15.3786
2, 15.3752
2, 15.4359
2, 15.4547
2, 15.4111
2, 15.3792
2, 15.3493
2, 15.3578
2, 15.3916
2, 15.3069
2, 15.3692
2, 15.3681
2, 15.3613
2, 15.2961
2, 15.3411
2, 15.2985
2, 15.2628
2, 15.3871
2, 15.3585
2, 15.3777
2, 15.2943
2, 15.359
2, 15.3312
2, 15.3344
2, 15.2863
2, 15.3327
2, 15.3226
2, 15.3558
2, 15.2453
2, 15.369
2, 15.363
2, 15.3037
2, 15.3889
2, 15.3777
2, 15.3917
2, 15.3251
2, 15.3765
2, 15.3416
2, 15.3981
2, 15.3432
2, 15.4113
4, 7.91051
4, 7.86522
4, 7.9078
4, 7.86826
4, 7.86665
4, 7.92937
4, 7.90717
4, 7.86331
4, 7.87645
4, 7.86309
4, 7.98045
4, 7.99178
4, 7.93441
4, 7.91382
4, 7.99225
4, 7.85767
4, 7.9366
4, 7.90349
4, 7.90976
4, 7.89659
4, 7.91296
4, 7.90163
4, 7.88711
4, 7.90831
4, 7.86902
4, 7.86213
4, 7.89449
4, 7.87455
4, 7.90556
4, 7.8642
4, 7.90343
4, 7.86066
4, 7.8772
4, 7.86825
4, 7.90003
4, 7.86796
4, 7.896
4, 7.86611
4, 7.90177
4, 7.86318
4, 7.86844
4, 7.90512
4, 7.86302
4, 7.88464
4, 7.87556
4, 7.89737
4, 7.86107
4, 7.86193
4, 7.88923
4, 7.86243
4, 7.87844
4, 7.8497
4, 7.88877
4, 7.85633
4, 7.87662
4, 7.86235
4, 7.90707
4, 7.90244
4, 7.86056
4, 7.89749
4, 7.86155
4, 7.8698
4, 7.86321
4, 7.90444
4, 7.89986
4, 7.86458
4, 7.9013
4, 7.86232
4, 7.86922
4, 7.86313
4, 7.90431
4, 7.86535
4, 7.88961
4, 7.89164
4, 7.86367
4, 7.86526
4, 7.86989
4, 7.9074
4, 7.86133
4, 7.89641
4, 7.89829
4, 7.86496
4, 7.86939
4, 7.86478
4, 7.90163
4, 7.86295
4, 7.8974
4, 7.86053
4, 7.85794
4, 7.86289
4, 7.85871
4, 7.903
4, 7.85569
4, 7.90097
4, 7.86076
4, 7.89334
4, 7.8629
4, 7.85928
4, 7.90273
4, 7.86022
7, 4.60255
7, 4.52912
7, 4.55122
7, 4.65714
7, 4.5948
7, 4.59228
7, 4.5951
7, 4.71078
7, 4.85011
7, 4.69189
7, 4.59379
7, 4.58882
7, 4.62255
7, 4.62564
7, 4.59376
7, 4.5952
7, 4.60877
7, 4.74827
7, 4.59084
7, 4.6032
7, 4.61537
7, 4.63168
7, 4.72878
7, 4.58275
7, 4.62876
7, 4.57218
7, 4.6095
7, 4.57255
7, 4.58261
7, 4.64562
7, 4.59634
7, 4.59051
7, 4.5722
7, 4.6081
7, 4.57644
7, 4.57149
7, 4.62217
7, 4.6458
7, 4.54795
7, 4.5336
7, 4.57105
7, 4.53572
7, 4.55219
7, 4.59168
7, 4.54026
7, 4.5489
7, 4.5394
7, 4.63312
7, 4.54119
7, 4.5477
7, 4.54494
7, 4.54927
7, 4.53601
7, 4.56636
7, 4.57148
7, 4.65251
7, 4.59329
7, 4.57416
7, 4.61089
7, 4.57987
7, 4.57552
7, 4.77622
7, 4.60032
7, 4.58501
7, 4.57037
7, 4.66173
7, 4.57557
7, 4.58702
7, 4.74082
7, 4.58056
7, 4.59441
7, 4.59583
7, 4.5941
7, 4.5712
7, 4.64289
7, 4.6032
7, 4.57646
7, 4.58818
7, 4.60993
7, 4.58539
7, 4.58007
7, 4.71224
7, 4.57439
7, 4.57917
7, 4.62156
7, 4.57333
7, 4.58373
7, 4.59855
7, 4.58926
7, 4.57251
7, 4.72817
7, 4.58919
7, 4.58032
7, 4.62223
7, 4.57446
7, 4.58508
7, 4.61604
7, 4.64128
7, 4.58569
7, 4.57463
8, 4.21093
8, 4.01219
8, 4.01773
8, 3.98861
8, 3.98522
8, 4.12438
8, 4.01736
8, 3.9818
8, 3.9981
8, 4.00984
8, 4.00877
8, 3.98464
8, 3.98366
8, 4.05435
8, 3.99442
8, 3.98465
8, 3.98554
8, 4.00089
8, 3.9864
8, 3.98924
8, 4.12104
8, 3.99008
8, 3.98172
8, 3.98158
8, 3.99189
8, 3.97629
8, 3.98666
8, 4.02462
8, 4.0218
8, 3.98231
8, 3.98194
8, 4.01305
8, 3.98239
8, 3.98152
8, 3.99702
8, 4.02541
8, 3.983
8, 3.98238
8, 4.00195
8, 4.0539
8, 3.98465
8, 3.98075
8, 4.00901
8, 3.98101
8, 3.98441
8, 3.98442
8, 4.11956
8, 3.99741
8, 3.98616
8, 4.0092
8, 3.98575
8, 4.00138
8, 3.99483
8, 4.00628
8, 3.98427
8, 3.99699
8, 3.98475
8, 3.98413
8, 4.00619
8, 3.97976
8, 3.99352
8, 3.98275
8, 4.04233
8, 3.98521
8, 3.98219
8, 3.98773
8, 4.01311
8, 3.98317
8, 3.99335
8, 4.00585
8, 4.02151
8, 3.98194
8, 3.98257
8, 4.01449
8, 3.98318
8, 3.98322
8, 3.98853
8, 4.00747
8, 3.98765
8, 3.98393
8, 4.09372
8, 4.00526
8, 3.98115
8, 3.98373
8, 4.00954
8, 3.98236
8, 3.99185
8, 3.98483
8, 3.97912
8, 3.98826
8, 3.98098
8, 4.01317
8, 3.98619
8, 3.98586
8, 3.99685
8, 3.98037
8, 3.9818
8, 3.98715
8, 3.99794
8, 3.98996
16, 2.14866
16, 2.05932
16, 2.06588
16, 2.20115
16, 2.06403
16, 2.05873
16, 2.06066
16, 2.07411
16, 2.06563
16, 2.07504
16, 2.05955
16, 2.07553
16, 2.06617
16, 2.06757
16, 2.06091
16, 2.1792
16, 2.06908
16, 2.06886
16, 2.0661
16, 2.06293
16, 2.06162
16, 2.08305
16, 2.06918
16, 2.06919
16, 2.05967
16, 2.06017
16, 2.06937
16, 2.0877
16, 2.06551
16, 2.05775
16, 2.07799
16, 2.0713
16, 2.06705
16, 2.08245
16, 2.07818
16, 2.06577
16, 2.06752
16, 2.0691
16, 2.05927
16, 2.06014
16, 2.08075
16, 2.06916
16, 2.06818
16, 2.05725
16, 2.06246
16, 2.06712
16, 2.12671
16, 2.1518
16, 2.06272
16, 2.06905
16, 2.07224
16, 2.07352
16, 2.06923
16, 2.06962
16, 2.06163
16, 2.06697
16, 2.06596
16, 2.06504
16, 2.05876
16, 2.11963
16, 2.06747
16, 2.06451
16, 2.06284
16, 2.05946
16, 2.0641
16, 2.15496
16, 2.06551
16, 2.06306
16, 2.05906
16, 2.06543
16, 2.06592
16, 2.07447
16, 2.0569
16, 2.06188
16, 2.06494
16, 2.06552
16, 2.06513
16, 2.09684
16, 2.05982
16, 2.08284
16, 2.06575
16, 2.06716
16, 2.05693
16, 2.05773
16, 2.06538
16, 2.07878
16, 2.06255
16, 2.05843
16, 2.06593
16, 2.06592
16, 2.06521
16, 2.17553
16, 2.05767
16, 2.06618
16, 2.06734
16, 2.06804
16, 2.05633
16, 2.08011
16, 2.0755
16, 2.06579
20, 1.84158
20, 1.76549
20, 1.76299
20, 1.76166
20, 1.7637
20, 1.75991
20, 1.77248
20, 1.69713
20, 1.69423
20, 1.70088
20, 1.69951
20, 1.7021
20, 1.70679
20, 1.81684
20, 1.69847
20, 1.76411
20, 1.7712
20, 1.77012
20, 1.76466
20, 1.75511
20, 1.76555
20, 1.8801
20, 1.75895
20, 1.75273
20, 1.75293
20, 1.75934
20, 1.7511
20, 1.85356
20, 1.70106
20, 1.70049
20, 1.69446
20, 1.70162
20, 1.70168
20, 1.70038
20, 1.82326
20, 1.70958
20, 1.69596
20, 1.6975
20, 1.70206
20, 1.69608
20, 1.80764
20, 1.73551
20, 1.6961
20, 1.69837
20, 1.71439
20, 1.69752
20, 1.69679
20, 1.71027
20, 1.75914
20, 1.71721
20, 1.70373
20, 1.70343
20, 1.70393
20, 1.70102
20, 1.69892
20, 1.69311
20, 1.70065
20, 1.69728
20, 1.68855
20, 1.69877
20, 1.7021
20, 1.69275
20, 1.76047
20, 1.70657
20, 1.69394
20, 1.69831
20, 1.70058
20, 1.69257
20, 1.70424
20, 1.70303
20, 1.70414
20, 1.70491
20, 1.703
20, 1.70104
20, 1.7047
20, 1.70214
20, 1.69839
20, 1.80961
20, 1.70232
20, 1.69917
20, 1.69866
20, 1.70123
20, 1.70292
20, 1.6944
20, 1.70882
20, 1.70303
20, 1.70357
20, 1.70849
20, 1.70011
20, 1.70294
20, 1.70542
20, 1.751
20, 1.6969
20, 1.7082
20, 1.7097
20, 1.70574
20, 1.70869
20, 1.72666
20, 1.70371
20, 1.72193
40, 1.86557
40, 1.87429
40, 1.79657
40, 1.56923
40, 1.31498
40, 1.39404
40, 1.40598
40, 1.70992
40, 1.51345
40, 1.31574
40, 1.37902
40, 1.31437
40, 1.38012
40, 1.31333
40, 1.36192
40, 1.34877
40, 1.31469
40, 1.38425
40, 1.32711
40, 1.39909
40, 1.31377
40, 1.39208
40, 1.31197
40, 1.51175
40, 1.3329
40, 1.31267
40, 1.39682
40, 1.30702
40, 1.38566
40, 1.31641
40, 1.38885
40, 1.34932
40, 1.2508
40, 1.20301
40, 1.35775
40, 1.34449
40, 1.22484
40, 1.38239
40, 1.32546
40, 1.52289
40, 1.78741
40, 1.35769
40, 1.61469
40, 1.28497
40, 1.52356
40, 1.80497
40, 1.36445
40, 1.36591
40, 1.31224
40, 1.38338
40, 1.31208
40, 1.38384
40, 1.31665
40, 1.38774
40, 1.27578
40, 1.35128
40, 1.3154
40, 1.31424
40, 1.37858
40, 1.06161
40, 1.39433
40, 1.31801
40, 1.38407
40, 1.31636
40, 1.39738
40, 1.32047
40, 1.38127
40, 1.316
40, 1.32532
40, 1.32874
40, 1.34667
40, 1.38933
40, 1.3128
40, 1.39225
40, 1.31767
40, 1.38547
40, 1.31138
40, 1.39584
40, 1.31574
40, 1.36278
40, 1.3421
40, 1.31524
40, 1.39277
40, 1.31375
40, 1.38919
40, 1.3513
40, 1.35061
40, 1.31782
40, 1.3944
40, 1.31436
40, 1.32016
40, 1.34347
40, 1.31623
40, 1.39702
40, 1.28931
40, 1.32249
40, 1.31473
40, 1.34689
40, 1.2475
40, 1.39428
